policy,seed,sharpe,maxdd,is_bps,auc,adv_pnl,net_leakage,status,timestamp
ou,26,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:08:05.283791
ou,27,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:08:13.565033
ou,28,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:06:30.413236
ou,29,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:06:39.161201
ou,30,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:06:47.761162
ou,31,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:06:56.173828
ou,32,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:07:04.855261
ou,33,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:07:13.378479
ou,34,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:07:22.094237
ou,35,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:07:31.603515
ou,36,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:07:40.276263
ou,37,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:07:48.706251
ou,38,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:07:57.209545
ou,39,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:08:05.475626
ou,40,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:08:13.692270
ou,41,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:06:33.482029
ou,42,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:06:42.074567
ou,43,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:06:50.485145
ou,44,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:06:58.800016
ou,45,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:07:07.297827
ou,46,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:07:15.595929
ou,47,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:07:24.656553
ou,48,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:07:33.261216
ou,49,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:07:41.571455
uniform_policy,0,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:07:49.882798
uniform_policy,1,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:07:58.474269
uniform_policy,2,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:08:06.730959
uniform_policy,3,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:08:15.019387
uniform_policy,4,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:08:21.502571
uniform_policy,5,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:08:30.054330
uniform_policy,6,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:08:38.533241
uniform_policy,7,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:08:46.698917
uniform_policy,8,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:08:54.943913
uniform_policy,9,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:09:03.762024
uniform_policy,10,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:09:12.030798
uniform_policy,11,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:09:20.413460
uniform_policy,12,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:09:28.999104
uniform_policy,13,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:09:37.517137
